,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
268,268,0.2977888231396904,0.013521311686107993,0.23279385111908898,0.560914539601102,65.15383031619264,ALS,37.43666667,-105.86666667,US,CO,west,no
269,269,0.4042524942033509,0.013667835685546824,0.23279385111908898,0.560914539601102,65.15383031619264,ALW,46.09472222,-118.29111111,US,WA,west,no
270,270,0.3031426624957591,0.09111838799927914,0.23279385111908898,0.560914539601102,65.15383031619264,LAW,34.56972222,-98.41611111,US,OK,centre,no
271,271,0.5864560272032354,0.01705171097910554,0.23279385111908898,0.560914539601102,65.15383031619264,ANB,33.59027778,-85.85583333,US,AL,centre,no
272,272,0.40584492540537287,0.006079178175509202,0.23279385111908898,0.560914539601102,65.15383031619264,MTO,39.47861111,-88.27833333,US,IL,east,no
273,273,0.20307998967965646,0.03938883460965698,0.23279385111908898,0.560914539601102,65.15383031619264,PAE,47.90833333,-122.28138889,US,WA,west,no
274,274,0.5940694364459684,0.03304891524799786,0.23279385111908898,0.560914539601102,65.15383031619264,AND,34.49361111,-82.71,US,SC,east,no
275,275,0.7634920138390293,0.27943086250538546,0.23279385111908898,0.560914539601102,65.15383031619264,BED,42.47083333,-71.29,US,MA,east,no
276,276,0.49704916387510933,0.006146058100516486,0.23279385111908898,0.560914539601102,65.15383031619264,ANP,38.94277778,-76.56888889,US,MD,east,no
277,277,0.6065862217014428,0.009681668827266928,0.23279385111908898,0.560914539601102,65.15383031619264,AOO,40.29722222,-78.32,US,PA,east,no
278,278,0.34773165808418616,0.013862609400257958,0.23279385111908898,0.560914539601102,65.15383031619264,APA,39.57277778,-104.84777778,US,CO,west,no
279,279,0.3662509415593914,0.05581057624015321,0.23279385111908898,0.560914539601102,65.15383031619264,BJC,39.90888889,-105.11722222,US,CO,west,no
280,280,0.23722284453855214,0.01794252100986264,0.23279385111908898,0.560914539601102,65.15383031619264,TRM,33.62638889,-116.16083333,US,CA,west,no
281,281,0.6033373811772331,0.013199640062466829,0.23279385111908898,0.560914539601102,65.15383031619264,APF,26.15277778,-81.77527778,US,FL,east,no
282,282,0.6446748853316284,0.016886265008391247,0.23279385111908898,0.560914539601102,65.15383031619264,APN,45.08166667,-83.55583333,US,MI,east,no
283,283,0.6338940050378616,0.017004502802855693,0.23279385111908898,0.560914539601102,65.15383031619264,CIU,46.24194444,-84.46611111,US,MI,east,no
284,284,0.9207107926772421,0.33612270370272485,0.23279385111908898,0.560914539601102,65.15383031619264,BGR,44.80777778,-68.82777778,US,ME,east,no
285,285,0.1418152843148761,0.13870190464885568,0.23279385111908898,0.560914539601102,65.15383031619264,ASE,39.22416667,-106.86888889,US,CO,west,no
286,286,0.17791631274266073,0.20571315215334834,0.23279385111908898,0.560914539601102,65.15383031619264,JAC,43.60666667,-110.73694444,US,WY,west,no
287,287,0.4454232322083774,0.009801382552943664,0.23279385111908898,0.560914539601102,65.15383031619264,AST,46.15972222,-123.88,US,OR,west,no
288,288,0.5875315207161598,0.059793032905484655,0.23279385111908898,0.560914539601102,65.15383031619264,BKG,36.53194444,-93.20055556,US,MO,centre,no
289,289,0.49640886031139253,0.1238189030738364,0.23279385111908898,0.560914539601102,65.15383031619264,BKL,41.51694444,-81.68333333,US,OH,east,no
290,290,0.9376008116607272,0.27466239324457653,0.23279385111908898,0.560914539601102,65.15383031619264,BMI,40.48194444,-88.9275,US,IL,east,no
291,291,0.0876724485541693,0.43044138197228105,0.23279385111908898,0.560914539601102,65.15383031619264,BZN,45.78027778,-111.15944444,US,MT,west,no
292,292,0.6782215045839427,0.01736187991657355,0.23279385111908898,0.560914539601102,65.15383031619264,CGI,37.22361111,-89.57166667,US,MO,centre,no
293,293,0.9072579734576445,0.23734914524808928,0.23279385111908898,0.560914539601102,65.15383031619264,CHA,35.03638889,-85.20361111,US,TN,east,no
294,294,0.2633754162017946,0.12721724814507746,0.23279385111908898,0.560914539601102,65.15383031619264,CLL,30.58944444,-96.36444444,US,TX,centre,no
295,295,0.5437613228602818,0.04600523865370052,0.23279385111908898,0.560914539601102,65.15383031619264,DHN,31.32,-85.44833333,US,AL,centre,no
296,296,0.5286035896904232,0.15100745864177897,0.23279385111908898,0.560914539601102,65.15383031619264,EGE,39.64361111,-106.91388889,US,CO,west,no
297,297,0.9334877358103345,0.2943350780298287,0.23279385111908898,0.560914539601102,65.15383031619264,EVV,38.03666667,-87.5325,US,IN,east,no
298,298,0.91302863353536,0.10461865402899054,0.23279385111908898,0.560914539601102,65.15383031619264,EWN,35.07361111,-77.0425,US,NC,east,no
299,299,0.845329038272144,0.14217146476478254,0.23279385111908898,0.560914539601102,65.15383031619264,EYW,24.55555556,-81.75972222,US,FL,east,no
300,300,0.06697816182314145,0.2731329083300138,0.23279385111908898,0.560914539601102,65.15383031619264,FCA,48.31277778,-114.25111111,US,MT,west,no
301,301,0.7790751021811464,0.028511918314731773,0.23279385111908898,0.560914539601102,65.15383031619264,FLO,34.18888889,-79.72444444,US,SC,east,no
