,index,x0,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
70,70,-40.34425528473068,1.1523614332229732,0.2514865541008847,0.4841483834760242,70.68591703799864,ABQ,35.04166667,-106.60638889,US,NM,west,no
71,71,35.56750049849891,1.2985202431493394,0.2514865541008847,0.4841483834760242,70.68591703799864,ALB,42.74583333,-73.80527778,US,NY,east,no
72,72,-52.57386796335006,0.017570501289535134,0.2514865541008847,0.4841483834760242,70.68591703799864,ALM,32.83972222,-105.99,US,NM,west,no
73,73,-41.937083488798734,0.520657756973516,0.2514865541008847,0.4841483834760242,70.68591703799864,AMA,35.22722222,-101.72194444,US,TX,centre,no
74,74,-41.22031085917426,1.7744717971097452,0.2514865541008847,0.4841483834760242,70.68591703799864,AUS,30.19444444,-97.67,US,TX,centre,no
75,75,46.45866985843219,1.2735795766124034,0.2514865541008847,0.4841483834760242,70.68591703799864,BDL,41.93861111,-72.68333333,US,CT,east,no
76,76,-39.06959263714148,0.20800462678220336,0.2514865541008847,0.4841483834760242,70.68591703799864,BFL,35.43,-119.05222222,US,CA,west,no
77,77,-36.570668173599614,0.4092723237984286,0.2514865541008847,0.4841483834760242,70.68591703799864,BIL,45.80694444,-108.54277778,US,MT,west,no
78,78,-40.009897987384036,0.9133209774590895,0.2514865541008847,0.4841483834760242,70.68591703799864,BOI,43.56527778,-116.225,US,ID,west,no
79,79,12.220983248194358,1.4771559245216002,0.2514865541008847,0.4841483834760242,70.68591703799864,BOS,42.36361111,-71.00611111,US,MA,east,yes
80,80,-27.924715938020793,0.04249938588351622,0.2514865541008847,0.4841483834760242,70.68591703799864,BPT,29.95083333,-94.02,US,TX,centre,no
81,81,44.96794272530027,1.3189306413410733,0.2514865541008847,0.4841483834760242,70.68591703799864,BUF,42.94111111,-78.73638889,US,NY,east,no
82,82,-39.318421063480926,2.0155943871996964,0.2514865541008847,0.4841483834760242,70.68591703799864,BUR,34.2,-118.35777778,US,CA,west,yes
83,83,29.6928087844537,1.671634523940041,0.2514865541008847,0.4841483834760242,70.68591703799864,BWI,39.175,-76.67,US,MD,east,no
84,84,45.155077378374685,1.700909508776681,0.2514865541008847,0.4841483834760242,70.68591703799864,CMH,39.99111111,-82.87833333,US,OH,east,no
85,85,14.91095421202271,0.02060117812316432,0.2514865541008847,0.4841483834760242,70.68591703799864,CNM,32.33722222,-104.26277778,US,NM,west,no
86,86,-37.443210048673436,0.9739072683045342,0.2514865541008847,0.4841483834760242,70.68591703799864,COS,38.80888889,-104.70916667,US,CO,west,no
87,87,-45.80217666377425,0.332537410342588,0.2514865541008847,0.4841483834760242,70.68591703799864,CRP,27.77,-97.50083333,US,TX,centre,no
88,88,48.498971826759,1.3595531707148576,0.2514865541008847,0.4841483834760242,70.68591703799864,CVG,39.04777778,-84.66861111,US,KY,centre,no
89,89,25.35568655290309,0.007398527508107326,0.2514865541008847,0.4841483834760242,70.68591703799864,CVN,34.42722222,-103.07888889,US,NM,west,no
90,90,-42.52571130239464,0.907731600487416,0.2514865541008847,0.4841483834760242,70.68591703799864,DAL,32.84694444,-96.85333333,US,TX,centre,no
91,91,47.50148255296437,1.4262951424211479,0.2514865541008847,0.4841483834760242,70.68591703799864,DCA,38.85166667,-77.03694444,US,VA,east,yes
92,92,0.3,2.8131151117324302,0.2514865541008847,0.4841483834760242,70.68591703799864,DEN,39.77444444,-104.87972222,US,CO,west,no
93,93,-56.83015686588574,0.5628307414072522,0.2514865541008847,0.4841483834760242,70.68591703799864,ECP,30.35777778,-85.79888889,US,FL,east,no
94,94,-38.440783279020785,0.2291636926961316,0.2514865541008847,0.4841483834760242,70.68591703799864,EUG,44.12083333,-123.2175,US,OR,west,no
95,95,37.20230545875489,1.5641357501848079,0.2514865541008847,0.4841483834760242,70.68591703799864,EWR,40.69583333,-74.17166667,US,NJ,east,yes
96,96,-38.62854778488192,0.4404430025601251,0.2514865541008847,0.4841483834760242,70.68591703799864,FAT,36.77666667,-119.71722222,US,CA,west,no
97,97,-40.248352531633934,0.8449171451997768,0.2514865541008847,0.4841483834760242,70.68591703799864,GEG,47.62,-117.53277778,US,WA,west,no
