,index,x0,x1,w,sigma,c,t,iata,latitude,longitude,country,state,region,hub
423,423,0.15490801076087202,0.9181215486247954,0.20760230772864696,0.5677354772748359,0.42862820352776937,161.42496229148412,LWS,46.37472222,-117.01444444,US,ID,west,no
424,424,0.21245602911203662,0.8519450929271112,0.07167976090575248,0.5677354772748359,0.42862820352776937,161.42496229148412,PUW,46.74472222,-117.105,US,WA,west,no
425,425,0.23940040459163142,0.4983145687989131,0.008961286689763691,0.5677354772748359,0.42862820352776937,161.42496229148412,RQZ,30.42888889,-86.68888889,US,FL,east,no
426,426,0.1883768762776761,0.8798423782927002,0.096236966404181,0.5677354772748359,0.42862820352776937,161.42496229148412,SUN,43.50416667,-114.30833333,US,ID,west,no
427,427,0.18697102756419073,0.25750078050773706,0.04379155595393068,0.5677354772748359,0.42862820352776937,161.42496229148412,LEB,43.62805556,-72.30583333,US,NH,east,no
428,428,0.6648041557443334,0.3065576061806031,0.06117237413728178,0.5677354772748359,0.42862820352776937,161.42496229148412,PBG,44.65083333,-73.46805556,US,NY,east,no
429,429,0.24862174393728947,0.5082065061659399,0.03380952075941329,0.5677354772748359,0.42862820352776937,161.42496229148412,PQI,46.685,-68.0475,US,ME,east,no
430,430,0.47586514858427387,0.2253966971097024,0.018789564927041674,0.5677354772748359,0.42862820352776937,161.42496229148412,PVC,42.07194444,-70.22166667,US,MA,east,no
431,431,0.14107939563138444,0.1686916366611638,0.06811358647857137,0.5677354772748359,0.42862820352776937,161.42496229148412,RKD,44.05916667,-69.09805556,US,ME,east,no
432,432,0.5150722784643282,0.4947177513577782,0.01856173492150848,0.5677354772748359,0.42862820352776937,161.42496229148412,RUT,43.52944444,-72.94833333,US,VT,east,no
433,433,0.4551269052983672,0.426640699600467,0.013875274979244586,0.5677354772748359,0.42862820352776937,161.42496229148412,BRD,46.39722222,-94.1375,US,MN,centre,no
434,434,0.5707775710260817,0.5347151598929023,0.017918176623080522,0.5677354772748359,0.42862820352776937,161.42496229148412,BRL,40.78611111,-91.12333333,US,IA,centre,no
435,435,0.5601075231971764,0.599971239282609,0.0076433796528233905,0.5677354772748359,0.42862820352776937,161.42496229148412,ADS,32.96833333,-96.83611111,US,TX,centre,no
436,436,0.4267076340761881,0.41847516856359174,0.023943223611965388,0.5677354772748359,0.42862820352776937,161.42496229148412,BRO,25.90638889,-97.42555556,US,TX,centre,no
437,437,0.15146520341922987,0.5644283441120608,0.01513751876176946,0.5677354772748359,0.42862820352776937,161.42496229148412,BTL,42.30916667,-85.24777778,US,MI,east,no
438,438,0.3368799674456327,0.7263287076640986,0.020443747997005157,0.5677354772748359,0.42862820352776937,161.42496229148412,BTM,45.95111111,-112.49388889,US,MT,west,no
439,439,0.6689880980808275,0.128818627036556,0.11057722452536092,0.5677354772748359,0.42862820352776937,161.42496229148412,TYR,32.35472222,-95.39888889,US,TX,centre,no
440,440,0.4755075945125951,0.38234962063193884,0.019565550695544543,0.5677354772748359,0.42862820352776937,161.42496229148412,MIE,40.23972222,-85.39444444,US,IN,east,no
441,441,0.807646400104603,0.3634488153941542,0.025192659778940165,0.5677354772748359,0.42862820352776937,161.42496229148412,PKB,39.34555556,-81.43888889,US,WV,east,no
442,442,0.5464269358113919,0.4645625755077055,0.018182084116624884,0.5677354772748359,0.42862820352776937,161.42496229148412,RDG,40.37861111,-75.96388889,US,PA,east,no
443,443,0.30396072302064275,0.6304619890514089,0.00826307844940132,0.5677354772748359,0.42862820352776937,161.42496229148412,DWA,38.57916667,-121.85666667,US,CA,west,no
444,444,0.18397278830790856,0.7562464655595085,0.013827941509311392,0.5677354772748359,0.42862820352776937,161.42496229148412,FVG,33.96972222,-112.79638889,US,AZ,west,no
445,445,0.33946400652656594,0.655207378570988,0.01365398691145882,0.5677354772748359,0.42862820352776937,161.42496229148412,GYR,33.42361111,-112.37416667,US,AZ,west,no
